Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX
Count= 678,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--
1,1,22/02/2021 15:32:34:363,0,0,1586,0,-2,2,0.4,0.22,0,0,2,0.01,58,907.6,20.96,37.15,0,0,0,5,1591,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,1,1
2,2,22/02/2021 15:32:34:463,0,0,1586,0,0,2,0.5,0.22,0,0,2,0.02,58,907.6,20.96,37.14,0,0,0,5,1591,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,1,1
3,3,22/02/2021 15:32:34:563,0,1,1586,0,0,2,0.7,0.21,0,0,2,0.04,58,907.6,20.96,37.14,0,0,0,5,1591,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,1,1
4,4,22/02/2021 15:32:34:663,0,0,1586,0,0,2,0.8,0.2,0,0,2,0.05,58,907.7,20.96,37.14,0,0,0,5,1582,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,1,1
5,5,22/02/2021 15:32:34:763,0,0,1586,0,0,2,1,0.2,0,0,2,0.06,58,907.7,20.96,37.15,0,0,0,5,1582,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,1,1
6,6,22/02/2021 15:32:34:863,0,0,1586,0,0,2,1.1,0.2,0,0,2,0.07,58,907.6,20.96,37.15,0,0,0,5,1624,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,4.5,88888,0,5,1,1
7,7,22/02/2021 15:32:34:963,0,0,1621,0,0,2,1.3,0.2,0,0,2,0.09,58,907.6,20.96,37.15,0,0,0,5,1624,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,4.5,88888,0,5,1,1
8,8,22/02/2021 15:32:35:63,0,0,1621,0,0,2,1.4,0.2,0,0,2,0.1,58,907.6,20.96,37.14,0,0,0,5,1633,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,1,1
9,9,22/02/2021 15:32:35:163,0,0,1621,0,0,2,1.6,0.21,0,0,2,0.11,58,907.6,20.96,37.14,0,0,0,5,1633,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,1,1
10,10,22/02/2021 15:32:35:263,0,0,1621,0,0,2,1.7,0.23,0,0,2,0.12,58,907.6,20.96,37.15,0,0,0,5,1560,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,15,#####,#####,38,66,0,2,66,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,1,1
11,11,22/02/2021 15:32:35:363,10,1,1621,0,0,27,4,0.24,0,0,27,0.31,58,907.6,20.96,37.15,0,0,0,5,1560,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,15,#####,#####,38,66,0,2,66,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,2,2
12,12,22/02/2021 15:32:35:463,21,3,1581,0,1,27,6.6,0.22,0,0,27,0.52,58,907.6,20.97,37.16,0,0,0,5,1565,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,6,88888,0,5,2,2
13,13,22/02/2021 15:32:35:563,33,11,1581,0,1,27,9.2,0.17,0,0,27,0.73,58,907.6,20.97,37.16,0,0,0,5,1565,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,6,88888,0,5,2,2
14,14,22/02/2021 15:32:35:663,44,22,1581,0,1,27,11.7,0.14,0,0,27,0.95,58,907.6,20.96,37.18,0,0,0,5,1560,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,2,2
15,15,22/02/2021 15:32:35:763,55,33,1581,0,1,27,14.3,0.1,0,0,27,1.16,58,907.6,20.96,37.18,0,0,0,5,1560,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,2,2
16,16,22/02/2021 15:32:35:863,66,45,1581,0,1,27,16.9,0.05,0,0,27,1.37,58,907.6,20.96,37.21,0,0,0,5,1578,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,2,2
17,17,22/02/2021 15:32:35:963,77,56,1600,0,1,27,19.5,0.02,0,0,27,1.59,58,907.6,20.96,37.21,0,0,0,5,1578,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,2,2
18,18,22/02/2021 15:32:36:63,89,68,1600,0,1,27,22,-0.01,0,0,27,1.8,58,907.6,20.96,37.19,0,0,0,5,1584,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,2,2
