Recorder Data Information,Test Reference Number,22_02_21_ETC_TB10_6,Source Frequency,10 Hz,
,Recorder Name,Legislative_Recorder,Destination Frequency,10 Hz,

Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX,
Count= 677,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--,
1,1,22/02/2021 22:03:34:283,0,0,1609,0,-2,2,0.4,0.31,0.00,0.00,2,0.01,65,910.5,23.10,36.860,0.00,0.00,0.000,5,1600,0,#####,#####,#####,0.00,#####,45.53,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-3,10,#####,0.00,#####,5.00,88888,0,5,1,1,
2,2,22/02/2021 22:03:34:383,0,2,1609,0,-2,2,0.6,0.33,0.00,0.00,2,0.02,65,910.5,23.10,36.850,0.00,0.00,0.000,5,1600,0,#####,#####,#####,0.00,#####,45.53,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-3,10,#####,0.00,#####,5.00,88888,0,5,1,1,
3,3,22/02/2021 22:03:34:483,0,1,1609,0,-2,2,0.7,0.33,0.00,0.00,2,0.03,65,910.5,23.10,36.850,0.00,0.00,0.000,5,1626,0,#####,#####,#####,0.00,#####,45.53,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,1,1,
4,4,22/02/2021 22:03:34:583,0,0,1609,0,-2,2,0.9,0.33,0.00,0.00,2,0.04,65,910.5,23.10,36.860,0.00,0.00,0.000,5,1626,0,#####,#####,#####,0.00,#####,45.53,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,1,1,
5,5,22/02/2021 22:03:34:683,0,0,1676,0,0,2,1.0,0.33,0.00,0.00,2,0.06,65,910.5,23.10,36.860,0.00,0.00,0.000,5,1691,0,#####,#####,#####,0.00,#####,44.75,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-4,10,#####,0.00,#####,5.00,88888,0,5,1,1,
6,6,22/02/2021 22:03:34:783,0,0,1676,0,0,2,1.1,0.33,0.00,0.00,2,0.07,65,910.5,23.10,36.850,0.00,0.00,0.000,5,1691,0,#####,#####,#####,0.00,#####,44.75,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-4,10,#####,0.00,#####,5.00,88888,0,5,1,1,
7,7,22/02/2021 22:03:34:883,0,0,1676,0,0,2,1.3,0.33,0.00,0.00,2,0.08,65,910.5,23.10,36.850,0.00,0.00,0.000,5,1718,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,4.50,88888,0,5,1,1,
8,8,22/02/2021 22:03:34:983,0,0,1676,0,0,2,1.4,0.33,0.00,0.00,2,0.09,65,910.5,23.10,36.840,0.00,0.00,0.000,5,1718,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,4.50,88888,0,5,1,1,
9,9,22/02/2021 22:03:35:83,0,0,1676,0,0,2,1.6,0.33,0.00,0.00,2,0.10,65,910.5,23.10,36.840,0.00,0.00,0.000,5,1589,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-4,10,#####,0.00,#####,5.00,88888,0,5,1,1,
